Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ObjectiveStayWithin_keyword,Quest,Keywords,,,Stay Within,,Drinnen bleiben,Quédate dentro,Rester à l'intérieur,Resta dentro,範囲内から出たら失敗,유지,Pozostań na obszarze,Fique em,Оставаться внутри,İçinde Kal,留在里面,留在區域
ObjectiveClearAreas_keyword,Quest,Keywords,,,Clear Areas:,,Säubere Gebiete,Despeja las zonas,Terminer les zones ,Libera le aree,エリアを一掃する,지역 소탕,Wyczyść obszary,Limpe as áreas,Очистить области,Alanları Temizle,清理区域,清理區域
ObjectiveTalkToTrader_keyword,Quest,Keywords,,,Talk to Trader,,Rede mit dem Händler,Habla con el vendedor,Parler au marchand ,Parla con il negoziante,トレーダーと話す,상인과 대화,Porozmawiaj z handlarzem,Fale com o comerciante,Поговорить с торговцем:,Tüccarla Konuş,与商人交谈,與商人交談
# From AGF Text Highlighting
# 43CF7C = 绿色
# FF5252 = 红色
# FFAD1F = 屎黄色
# DECEA3 = 任务色
inactiveBlockPrompt,,Block prompt,,,"[FF5252](Inactive)[-] {0}",,"[FF5252](Inaktiv) [-]{0}","[FF5252](Inactivo) [-]{0}","[FF5252](Inactif/-ive)[-] {0}","[FF5252](Inattivo)[-] {0}","[FF5252](無効) [-]{0}","[FF5252](비활성화)[-] {0}","[FF5252](Nieakt.)[-] {0}","[FF5252](Inativo) [-]{0}","[FF5252](Неактивн.)[-] {0}","[FF5252](Etkin değil) [-]{0}","[FF5252]（未应用）[-]{0}","[FF5252]（不活躍）[-] {0}"
itemTooltipFocusedOne,UI,Use Prompt,,,"[43CF7C]{0}[-] Collect: [FFAD1F]{1}[-]",,"[43CF7C]{0}[-] Sammle: [FFAD1F]{1}[-]","[43CF7C]{0}[-] Recoger: [FFAD1F]{1}[-]","[43CF7C]{0}[-] pour récupérer : [FFAD1F]{1}[-]","[43CF7C]{0}[-] Ottieni: [FFAD1F]{1}[-]","[43CF7C]{0}[-] 回収： [FFAD1F]{1}[-]","[43CF7C]{0}[-] 수집: [FFAD1F]{1}[-]","[43CF7C]{0}[-] Zdobądź: [FFAD1F]{1}[-]","[43CF7C]{0}[-] coletar: [FFAD1F]{1}[-]","[43CF7C]{0}[-] Собрать: [FFAD1F]{1}[-]","[43CF7C]{0}[-] Topla: [FFAD1F]{1}[-]","[43CF7C]{0}[-] 收集：[FFAD1F]{1}[-]","[43CF7C]{0}[-] 收集：[FFAD1F]{1}[-]"
itemTooltipFocusedSeveral,UI,Use Prompt,,,"[43CF7C]{0}[-] Collect: {2} of {1}",,"[43CF7C]{0}[-] Sammle: {2} von {1}","[43CF7C]{0}[-] Recogido: {2} de {1}","[43CF7C]{0}[-] pour récupérer : {2} sur {1}","[43CF7C]{0}[-] Ottieni: {2} di {1}","[43CF7C]{0}[-] 回収： {2} / {1}","[43CF7C]{0}[-] 수집: {1}의 {2}","[43CF7C]{0}[-] Zdobądź: {2} z {1}","[43CF7C]{0}[-] coletar: {2} de {1}","[43CF7C]{0}[-] Собрать: {2} из {1}","[43CF7C]{0}[-] Topla: {2}/{1}","[43CF7C]{0}[-] 收集：{2} /{1}","[43CF7C]{0}[-] 收集：{2}的{1}"
lootEntity,UI,Use Prompt,,,"[43CF7C]{0}[-] Search {1} [43CF7C](Untouched)",,"[43CF7C]{0}[-] {1} durchsuchen [43CF7C](Unberührt)","[43CF7C]{0}[-] Registrar {1} [43CF7C](Intacto)","[43CF7C]{0}[-] Fouiller {1} [43CF7C](intact)","[43CF7C]{0}[-] Esamina {1} [43CF7C](Nuovo)","[43CF7C]{0}[-] {1}を調べる [43CF7C]（未使用）","[43CF7C]{0}[-] {1}[43CF7C](손대지 않은)[-] 검색","[43CF7C]{0}[-] Przeszukaj: {1} [43CF7C](nienaruszone)","[43CF7C]{0}[-] Buscar {1} [43CF7C](intocado)","[43CF7C]{0}[-]: обыскать тело ({1})[43CF7C] (нетронуто)","[43CF7C]{0}[-] Ara: {1} [43CF7C](Dokunulmamış)","[43CF7C]{0}[-] 搜索 {1}[43CF7C]（未触碰过）","[43CF7C]{0}[-] 搜索{1}[43CF7C]（未觸及）"
